Device Name,Device Desription,Device EUI,Lot Number,Address,app_eui,key,,,,,,
210508030111,WX-BS-1P-S-EM,8CF957200000A848,7416,"14 Titan Dr, Signal Hill, Newcastle, 2940",8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030112,WX-BS-1P-S-EM,8CF957200000BA59,7406,"7 Titan Dr, Signal Hill, Newcastle, 2940",8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030113,WX-BS-1P-S-EM,8CF957200000BE66,7405,"9 Titan Dr, Signal Hill, Newcastle, 2940",8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030114,WX-BS-1P-S-EM,8CF957200000BA77,7404,"11 Titan Dr, Signal Hill, Newcastle, 2940",8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030115,WX-BS-1P-S-EM,8CF957200000AF9E,7415,"12 Titan Dr, Signal Hill, Newcastle, 2940",8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030116,WX-BS-1P-S-EM,8CF957200000B92E,7407,"5 Titan Dr, Signal Hill, Newcastle, 2940",8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030117,WX-BS-1P-S-EM,8CF957200000B76C,7413,"8 Titan Dr, Signal Hill, Newcastle, 2940",8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030118,WX-BS-1P-S-EM,8CF957200000BEB7,7412,"6 Titan Dr, Signal Hill, Newcastle, 2940",8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030119,WX-BS-1P-S-EM,8CF957200000A813,7417,"16 Titan Dr, Signal Hill, Newcastle, 2940",8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030120,WX-BS-1P-S-EM,8CF957200000A7C3,7408,"3 Titan Dr, Signal Hill, Newcastle, 2940",8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030121,WX-BS-1P-S-EM,8CF957200000BA29,7575,"219 Drakensberg Dr, Signal Hill, Newcastle, 2940",8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030122,WX-BS-1P-S-EM,8CF957200000B02C,7414,"10 Titan Dr, Signal Hill, Newcastle, 2940",8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030123,WX-BS-1P-S-EM,8CF957200000B6A4,9004,"5 Meteor Ave, Signal Hill, Newcastle, 2940",8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030124,WX-BS-1P-S-EM,8CF957200000BE74,9000,"6 Meteor Ave, Signal Hill, Newcastle, 2940",8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030125,WX-BS-1P-S-EM,8CF957200000AEE2,8976,"26 Star Dr, Signal Hill, Newcastle, 2940",8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030126,WX-BS-1P-S-EM,8CF957200000B6C4,9005,"3 Meteor Ave, Signal Hill, Newcastle, 2940",8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030227,WX-BS-1P-S-EM,8cf957200000b715,1,Lab Test Meter,8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030127,WX-BS-1P-S-EM,8CF957200000AFA4,8941,"33 Pisces Cres, Signal Hill, Newcastle, 2940",8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030128,WX-BS-1P-S-EM,8CF957200000B9FD,8962,"1 Aquila Ave, Signal Hill, Newcastle, 2940",8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030129,WX-BS-1P-S-EM,8CF957200000B7D0,8960,"5 Aquila Ave, Signal Hill, Newcastle, 2940",8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030130,WX-BS-1P-S-EM,8CF957200000A7A8,8975,"24 Star Dr, Signal Hill, Newcastle, 2940",8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030131,WX-BS-1P-S-EM,8CF957200000A89E,8974,"22 Star Dr, Signal Hill, Newcastle, 2940",8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030132,WX-BS-1P-S-EM,8CF957200000B80D,8973,"20 Star Dr, Signal Hill, Newcastle, 2940",8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030133,WX-BS-1P-S-EM,8CF957200000C329,8977,"28 Star Dr, Signal Hill, Newcastle, 2940",8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030134,WX-BS-1P-S-EM,8CF957200000B6C5,8944,"27 Pisces Cres, Signal Hill, Newcastle, 2940",8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030135,WX-BS-1P-S-EM,8CF957200000BEA6,9349,"36 Milky Way, Signal Hill, Newcastle, 2940",8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030136,WX-BS-1P-S-EM,8CF957200000B7BC,7475,"35 Titan Dr, Signal Hill, Newcastle, 2940",8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030137,WX-BS-1P-S-EM,8CF957200000C434,7316,"9 Moon Ave, Signal Hill, Newcastle",8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030138,WX-BS-1P-S-EM,8CF957200000AC3E,7501,"29 Uranus Cres, Signal Hill, Newcastle, 2940",8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030139,WX-BS-1P-S-EM,8CF957200000B2A5,7470,"65 Erica Dr, Signal Hill, Newcastle, 2940",8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
